FirstName,LastName,Race,BirthPlace,BirthPlace2,PLAYER_NAME
Markelle,Fultz,black,USA,,Markelle Fultz
Markieff,Morris,black,USA,,Markieff Morris
Marko,Guduric,white,Serbia,,Marko Guduric
Marquese,Chriss,black,USA,,Marquese Chriss
Marvin,Bagley III,black,USA,,Marvin Bagley III
Marvin,Williams,black,USA,,Marvin Williams
Mason,Plumlee,white,USA,,Mason Plumlee
Matisse,Thybulle,black/Mixed,France,,Matisse Thybulle
Matt,Mooney,white,USA,,Matt Mooney
Matt,Thomas,white,USA,,Matt Thomas
Matthew,Dellavedova,white,Australia,,Matthew Dellavedova
Maurice,Harkless,black,USA,,Maurice Harkless
Max,Strus,white,USA,,Max Strus
Maxi,Kleber,white,Germany,,Maxi Kleber
Melvin,Frazier Jr.,black,USA,,Melvin Frazier Jr.
Meyers,Leonard,white,USA,,Meyers Leonard
Mfiondu,Kabengele,black,Canada,,Mfiondu Kabengele
Michael,Carter-Williams,black/Mixed,USA,,Michael Carter-Williams
Michael,Frazier,black,USA,,Michael Frazier
Michael,Kidd-Gilchrist,black,USA,,Michael Kidd-Gilchrist
Michael,Porter Jr.,black/Mixed,USA,,Michael Porter Jr.
Mikal,Bridges,black,USA,,Mikal Bridges
Mike,Conley,black,USA,,Mike Conley
Mike,Muscala,white,USA,,Mike Muscala
Mike,Scott,black,USA,,Mike Scott
Miles,Bridges,black,USA,,Miles Bridges
Mitchell,Robinson,black,USA,,Mitchell Robinson
Miye,Oni,black,USA,,Miye Oni
Mo,Bamba,black,USA,,Mo Bamba
Monte,Morris,black,USA,,Monte Morris
Montrezl,Harrell,black,USA,,Montrezl Harrell
Moritz,Wagner,white,Germany,,Moritz Wagner
Moses,Brown,black,USA,,Moses Brown
Mychal,Mulder,Adopted,Canada,,Mychal Mulder
Myles,Turner,black,USA,,Myles Turner
Nassir,Little,black,USA,,Nassir Little
Naz,Mitrou-Long,black/Mixed,Canada,,Naz Mitrou-Long
Naz,Reid,black,USA,,Naz Reid
Nemanja,Bjelica,white,Serbia,,Nemanja Bjelica
Nerlens,Noel,black,USA,,Nerlens Noel
Nickeil,Alexander-Walker,black/Mixed,Canada,,Nickeil Alexander-Walker
Nicolas,Batum,black,France,,Nicolas Batum
Nicolas,Claxton,black,USA,,Nicolas Claxton
Nicolo,Melli,white,Italy,,Nicolo Melli
Nigel,Williams-Goss,black/Mixed,USA,,Nigel Williams-Goss
Nikola,Jokic,white,Serbia,,Nikola Jokic
Nikola,Vucevic,white,Montenegro,,Nikola Vucevic
Noah,Vonleh,black,USA,,Noah Vonleh
Norman,Powell,black,USA,,Norman Powell
Norvel,Pelle,black,Saint John's — Antigua and Barbuda,,Norvel Pelle
OG,Anunoby,black,England,,OG Anunoby
Omari,Spellman,black,USA,,Omari Spellman
Oshae,Brissett,black,Canada,,Oshae Brissett
Otto,Porter Jr.,black,USA,,Otto Porter Jr.
P.J.,Tucker,black,USA,,P.J. Tucker
P.J.,Washington,black,USA,,P.J. Washington
Pascal,Siakam,black,Cameroon,,Pascal Siakam
Pat,Connaughton,white,USA,,Pat Connaughton
Patrick,Beverley,black,USA,,Patrick Beverley
Patrick,McCaw,black,USA,,Patrick McCaw
Patrick,Patterson,black,USA,,Patrick Patterson
Patty,Mills,black/Mixed,Australia,Aboriginal,Patty Mills
Paul,George,black,USA,,Paul George
Paul,Millsap,black,USA,,Paul Millsap
Paul,Watson,black,USA,,Paul Watson
PJ,Dozier,black,USA,,PJ Dozier
Quinn,Cook,black,USA,,Quinn Cook
Quinndary,Weatherspoon,black,USA,,Quinndary Weatherspoon
Rajon,Rondo,black,USA,,Rajon Rondo
Raul,Neto,white,Spain,Hispanic,Raul Neto
Ray,Spalding,black,USA,,Ray Spalding
Rayjon,Tucker,black,USA,,Rayjon Tucker
Reggie,Bullock,black,USA,,Reggie Bullock
Reggie,Jackson,black,USA,,Reggie Jackson
Richaun,Holmes,black,USA,,Richaun Holmes
Ricky,Rubio,white,Spain,Hispanic,Ricky Rubio
RJ,Barrett,black,USA,,RJ Barrett
Robert,Covington,black,USA,,Robert Covington
Robert,Williams III,black,USA,,Robert Williams III
Robin,Lopez,black/Mixed,USA,Hispanic/Cuban,Robin Lopez
Rodions,Kurucs,white,Latvia,,Rodions Kurucs
Rodney,Hood,black,USA,,Rodney Hood
Rodney,McGruder,black,USA,,Rodney McGruder
Romeo,Langford,black,USA,,Romeo Langford
Rondae,Hollis-Jefferson,black,USA,,Rondae Hollis-Jefferson
Royce,O'Neale,black,USA,,Royce O'Neale
Rudy,Gay,black,USA,,Rudy Gay
Rudy,Gobert,black,France,,Rudy Gobert
Rui,Hachimura,black/Asian,Japan,,Rui Hachimura
Russell,Westbrook,black,USA,,Russell Westbrook
Ryan,Arcidiacono,white,USA,,Ryan Arcidiacono
Sekou,Doumbouya,black,France,,Sekou Doumbouya
Semi,Ojeleye,black,Nigeria,,Semi Ojeleye
Serge,Ibaka,black,Spain,Hispanic,Serge Ibaka
Seth,Curry,black,USA,,Seth Curry
Shabazz,Napier,black,USA,,Shabazz Napier
Shai,Gilgeous-Alexander,black/Mixed,USA,,Shai Gilgeous-Alexander
Shake,Milton,black,USA,,Shake Milton
Shaquille,Harrison,black,USA,,Shaquille Harrison
Sheldon,Mac,black,USA,,Sheldon Mac
Sir'Dominic,Pointer,black,USA,,Sir'Dominic Pointer
Skal,Labissiere,black,Haiti,,Skal Labissiere
Solomon,Hill,black,USA,,Solomon Hill
Spencer,Dinwiddie,black,USA,,Spencer Dinwiddie
Stanley,Johnson,black,USA,,Stanley Johnson
Stephen,Curry,black,USA,,Stephen Curry
Sterling,Brown,black,USA,,Sterling Brown
Steven,Adams,Mixed/Polynesian,New Zealand,,Steven Adams
Svi,Mykhailiuk,white,Ukraine,,Svi Mykhailiuk
T.J.,McConnell,white,USA,,T.J. McConnell
T.J.,Warren,black,USA,,T.J. Warren
Tacko,Fall,black,Senegal,,Tacko Fall
Taj,Gibson,black,USA,,Taj Gibson
Talen,Horton-Tucker,black,USA,,Talen Horton-Tucker
Tariq,Owens,black,USA,,Tariq Owens
Taurean,Prince,black,USA,,Taurean Prince
Terance,Mann,black,USA,,Terance Mann
Terence,Davis,black,USA,,Terence Davis
Terrance,Ferguson,black,USA,,Terrance Ferguson
Terrence,Ross,black,USA,,Terrence Ross
Terry,Rozier,black,USA,,Terry Rozier
Thabo,Sefolosha,black,Switzerland,,Thabo Sefolosha
Thaddeus,Young,black,USA,,Thaddeus Young
Thanasis,Antetokounmpo,black,Greece,,Thanasis Antetokounmpo
Theo,Pinson,black,USA,,Theo Pinson
Thomas,Bryant,black,USA,,Thomas Bryant
Thon,Maker,black,Sudan,,Thon Maker
Tim,Hardaway Jr.,black,USA,,Tim Hardaway Jr.
Timothe,Luwawu-Cabarrot,black/Mixed,France,,Timothe Luwawu-Cabarrot
TJ,Leaf,white,USA,,TJ Leaf
Tobias,Harris,black,USA,,Tobias Harris
Tomas,Satoransky,white,Czech Republic,,Tomas Satoransky
Tony,Bradley,black,USA,,Tony Bradley
Tony,Snell,black,USA,,Tony Snell
Torrey,Craig,black,USA,,Torrey Craig
Trae,Young,black/Mixed,USA,,Trae Young
Tremont,Waters,black/Mixed,USA,Puerto Rican,Tremont Waters
Treveon,Graham,black,USA,,Treveon Graham
Trevor,Ariza,black,USA,Hispanic/Venezuelan,Trevor Ariza
Trey,Lyles,black/Mixed,USA,,Trey Lyles
Tristan,Thompson,black,USA,,Tristan Thompson
Troy,Brown Jr.,black,USA,,Troy Brown Jr.
Troy,Daniels,black,USA,,Troy Daniels
Ty,Jerome,Mixed,USA,,Ty Jerome
Tyler,Herro,white,USA,,Tyler Herro
Tyson,Chandler,black,USA,,Tyson Chandler
Tyus,Jones,black/Mixed,USA,,Tyus Jones
Udonis,Haslem,black,USA,,Udonis Haslem
Vic,Law,black,USA,,Vic Law
Victor,Oladipo,black,USA,,Victor Oladipo
Vince,Carter,black,USA,,Vince Carter
Vincent,Poirier,white,France,,Vincent Poirier
Vlatko,Cancar,white,Slovenia,,Vlatko Cancar
Wayne,Ellington,black,USA,,Wayne Ellington
Wendell,Carter Jr.,black,USA,,Wendell Carter Jr.
Wenyen,Gabriel,black,Sudan,,Wenyen Gabriel
Wes,Iwundu,black,USA,,Wes Iwundu
Wesley,Matthews,black,USA,,Wesley Matthews
Will,Barton,black,USA,,Will Barton
William,Howard,black,France,,William Howard
Willie,Cauley-Stein,black,USA,,Willie Cauley-Stein
Willy,Hernangomez,white,Spain,Hispanic,Willy Hernangomez
Wilson,Chandler,black,USA,,Wilson Chandler
Yogi,Ferrell,black,USA,,Yogi Ferrell
Yuta,Watanabe,Asian/Mixed,Japan,,Yuta Watanabe
Zach,Collins,white,USA,,Zach Collins
Zach,LaVine,black/Mixed,USA,,Zach LaVine
Zhaire,Smith,black,USA,,Zhaire Smith
Zion,Williamson,black,USA,,Zion Williamson
Zylan,Cheatham,black,USA,,Zylan Cheatham
,,black,,,Aaron Brooks
,,black,,,Aaron Harrison
,,black,,,Aaron Henry
,,black,,,Aaron Jackson
,,black,,,Aaron Nesmith
,,black,,,Aaron Wiggins
,,black,,,Ade Murkey
,,black,,,Adreian Payne
,,black,,,Ahmad Caver
,,black,,,AJ Hammons
,,black,,,Al Jefferson
,,black,,,Alan Anderson
,,black,,,Alan Williams
,,white,,,Alec Peters
,,black,,,Aleem Ford
,,white,,,Alekesej Pokusevski
,,white,,,Alex Abrines
,,black,,,Alex Poythress
,,black,,,Alexis Ajinca
,,black,,,Allen Crabbe
,,black,,,Alonzo Gee
,,white,,,Alperen Sengun
,,black,,,Amida Brimah
,,black,,,Amile Jefferson
,,black,,,Amir Johnson
,,Mixed/Black,,,Anderson Varejao
,,black,,,Andre Ingram
,,white,,,Andrew Bogut
,,black,,,Andrew Harrison
,,black,,,Andrew Nicholson
,,black,,,Andrew White III
,,black,,,Angel Delgado
,,black,,,Anthony Bennett
,,black,,,Anthony Brown
,,black,,,Anthony Edwards
,,black,,,Anthony Gill
,,black,,,Anthony Lamb
,,black,,,Anthony Morrow
,,black,,,Anthony Tolliver
,,black,,,Antonio Blakeney
,,black,,,Archie Goodwin
,,black,,,Aric Holman
,,black,,,Arinze Onuaku
,,black,,,Armoni Brooks
,,white,Lithuania,,Arnoldas Kulboka
,,black,,,Arron Afflalo
,,black,,,Ashton Hagans
,,white,,,Austin Reaves
,,black,,,Axel Toupane
,,black,,,Ayo Dosunmu
,,black,,,Ben Bentil
,,black,,,Ben Moore
,,white,,,Beno Udrih
,,black,,,Billy Garrett
,,black,,,Bobby Brown
,,black,,,Bones Hyland
